contentType,content,destination,visibility,id,user_id
recommendation,"{""link"": ""https://maps.app.goo.gl/Gqy2Lt6DdoM4wXHx7"", ""destination"": ""Albuquerque""}",Albuquerque,"[""friends"", ""close friends""]",59e7114d-9be6-4167-a745-f4c7436a7326,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/dSaFptdNRCp5XPk77"", ""destination"": ""Glenwood Springs""}",Glenwood Springs,"[""friends"", ""close friends""]",df96e409-c3d9-4acb-a4ee-37575b5ba519,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/8igMQQRjeRQvF2bM7"", ""destination"": ""Hamburg""}",Hamburg,"[""friends"", ""close friends""]",03931657-e964-4a0b-b684-e396fd869be0,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/63gxKczdaAFnFCfc7"", ""destination"": ""Los Angeles""}",Los Angeles,"[""friends"", ""close friends""]",ca862434-947d-4215-a41f-b4752917d8cb,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/nJWjFaf3ggjdKs2r8"", ""destination"": ""Madrid""}",Madrid,"[""friends"", ""close friends""]",1556b3b3-7dd2-4df4-9909-6d517c430ef5,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/4zLTgSfqRr8CecZv7"", ""destination"": ""Mexico City""}",Mexico City,"[""friends"", ""close friends""]",b288e28c-b143-413c-b60f-79e265b97f18,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/fRUTwYHhXyjtU2s49"", ""destination"": ""Montreal""}",Montreal,"[""friends"", ""close friends""]",e2edf6fe-a161-4d2f-8c6b-e558efaa84e8,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/m72P7ggRz7Wjj6tL6"", ""destination"": ""New Orleans""}",New Orleans,"[""friends"", ""close friends""]",2dfb494d-919d-4839-8373-710def903d04,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/zFer2Be7EucugWoMA"", ""destination"": ""Paris""}",Paris,"[""friends"", ""close friends""]",fae7d9c0-2da8-4d96-b374-cf89a3fdf42b,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/FMcae52NRGUfr61ZA"", ""destination"": ""Playa del Carmen""}",Playa del Carmen,"[""friends"", ""close friends""]",bd4a48e6-efdc-4888-92ae-f5a996ad9e57,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/JGTa2wed1Cb39pHf8"", ""destination"": ""Puerto Rico""}",Puerto Rico,"[""friends"", ""close friends""]",f08fc443-c617-4424-8a11-7c39b1b3c3a0,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/2vFRzt335kc1iJxx7"", ""destination"": ""Rio de Janeiro""}",Rio de Janeiro,"[""friends"", ""close friends""]",7711b4c1-d327-4269-80b9-77e121d5d624,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/5b4WE5eZ9ge9eJ7A7"", ""destination"": ""Salt Lake City""}",Salt Lake City,"[""friends"", ""close friends""]",8d8a8e62-3438-42be-9f92-1fa3dcf99afb,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/HwEe1BSTE27yuAGQA"", ""destination"": ""S\u00e3o Paulo""}",São Paulo,"[""friends"", ""close friends""]",d20118f5-d833-43e7-864f-0a877042c647,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/c5pGRp32c4gxp4AZ9"", ""destination"": ""San Francisco""}",San Francisco,"[""friends"", ""close friends""]",77dab5df-5df9-4dc4-abff-6d49d0924e94,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/rXz8X9ykj5cmNzvn8"", ""destination"": ""San Sebastian""}",San Sebastian,"[""friends"", ""close friends""]",45198eb5-a100-41ee-90c7-c46e3b0544a0,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/j8Nu9Wh4z1aWXnVB6"", ""destination"": ""Tucson""}",Tucson,"[""friends"", ""close friends""]",b7b1c579-7271-4c13-a81b-e96d8ff9f4be,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/XdwANGqsqrjWEmkF7"", ""destination"": ""Zipolite""}",Zipolite,"[""friends"", ""close friends""]",d6f10904-6cc2-4b48-bed1-3c360192754b,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
recommendation,"{""link"": ""https://maps.app.goo.gl/DMYmPXCuCrb122YN7"", ""destination"": ""Zurich""}",Zurich,"[""friends"", ""close friends""]",f8c378c3-c521-4d10-a3d2-66663c50e255,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
